Name,News_Page,Allsides_Page,Media_Bias,Agree_Count,Disagree_Count,Agreeance_Ratio,Agreeance
HuffPost,http://www.huffingtonpost.com/,https://www.allsides.com/news-source/huffpost-media-bias,left,20979,19925,1.052898368883312,somewhat agrees
Mother Jones,http://www.motherjones.com/,https://www.allsides.com/news-source/mother-jones-bias,left,5726,1058,5.412098298676748,absolutely agrees
MSNBC,http://www.msnbc.com/,https://www.allsides.com/news-source/msnbc,left,5919,1985,2.981863979848866,strongly agrees
National Review,http://www.nationalreview.com/,https://www.allsides.com/news-source/national-review,right,9565,4508,2.121783496007098,strongly agrees
NBCNews.com,http://www.nbcnews.com,https://www.allsides.com/news-source/nbc-news-media-bias,left-center,4336,5523,0.785080572152815,somewhat disagrees
New York Post,http://www.nypost.com/,https://www.allsides.com/news-source/new-york-post,right,3820,2616,1.4602446483180431,somewhat agrees
New York Times - News,http://www.nytimes.com/,https://www.allsides.com/news-source/new-york-times,left-center,15902,25493,0.623779076609265,disagrees
New York Times - Opinion,https://www.nytimes.com/section/opinion,https://www.allsides.com/news-source/new-york-times-opinion-media-bias,left,2918,898,3.249443207126949,absolutely agrees
NPR Editorial,https://www.npr.org/sections/opinion/,https://www.allsides.com/news-source/npr-editorial,left-center,1949,2090,0.9325358851674641,somewhat disagrees
NPR Online News,http://www.npr.org/,https://www.allsides.com/news-source/npr-media-bias,center,19605,14704,1.333310663764961,somewhat agrees
Politico,http://www.politico.com/,https://www.allsides.com/news-source/politico-media-bias,left-center,13937,21664,0.643325332348596,disagrees
Reason,http://reason.com/,https://www.allsides.com/news-source/reason,right-center,5323,3573,1.489784494822278,somewhat agrees
Reuters,http://www.reuters.com/,https://www.allsides.com/news-source/reuters,center,7008,4599,1.523809523809523,agrees
Slate,https://slate.com/,https://www.allsides.com/news-source/slate,left,3464,2421,1.430813713341594,somewhat agrees
The Atlantic,http://www.theatlantic.com/,https://www.allsides.com/news-source/atlantic,left-center,4700,2763,1.70104958378574,agrees
The Daily Caller,http://dailycaller.com/,https://www.allsides.com/news-source/daily-caller,right,4789,2579,1.8569212873206662,agrees
The Daily Wire,http://www.dailywire.com/,https://www.allsides.com/news-source/daily-wire,right,2839,1379,2.058738216098622,strongly agrees
The Economist,http://www.economist.com/,https://www.allsides.com/news-source/economist,left-center,1673,3147,0.531617413409596,disagrees
The Federalist,http://thefederalist.com/,https://www.allsides.com/news-source/federalist,right,2569,1238,2.075121163166397,strongly agrees
The Guardian,https://www.theguardian.com/us,https://www.allsides.com/news-source/guardian,left-center,6179,3970,1.556423173803526,agrees
The Hill,https://www.thehill.com,https://www.allsides.com/news-source/hill-media-bias,center,7608,9439,0.8060175866087501,somewhat disagrees
The Intercept,https://theintercept.com,https://www.allsides.com/news-source/intercept,left,1270,649,1.956856702619414,agrees
The New Yorker,https://www.newyorker.com/,https://www.allsides.com/news-source/new-yorker,left,2578,790,3.263291139240506,absolutely agrees
TheBlaze.com,http://www.theblaze.com/,https://www.allsides.com/news-source/theblaze-bias,right,32540,25639,1.269160263660829,somewhat agrees
Time Magazine,http://www.time.com/time/,https://www.allsides.com/news-source/time-magazine-news-media-bias,left-center,4282,3569,1.199775847576352,somewhat agrees
USA TODAY,http://www.usatoday.com/,https://www.allsides.com/news-source/usa-today-media-bias,center,12393,10027,1.235962900169542,somewhat agrees
Vox,http://www.vox.com,https://www.allsides.com/news-source/vox-news-media-bias,left,12853,12456,1.031872190109184,somewhat agrees
Wall Street Journal - Editorial,http://online.wsj.com/public/page/news-opinion-commentary.html,https://www.allsides.com/news-source/wall-street-journal-opinion,right-center,5166,3786,1.364500792393027,somewhat agrees
Wall Street Journal - News,http://online.wsj.com/,https://www.allsides.com/news-source/wall-street-journal-media-bias,center,12623,17953,0.703113685734974,somewhat disagrees
Washington Examiner,http://washingtonexaminer.com/,https://www.allsides.com/news-source/washington-examiner,right-center,5211,2761,1.887359652299891,agrees
Washington Post,https://www.washingtonpost.com/,https://www.allsides.com/news-source/washington-post-media-bias,left-center,24509,15362,1.595430282515297,agrees
Washington Times,http://www.washingtontimes.com/,https://www.allsides.com/news-source/washington-times-bias,right-center,21262,10702,1.986731452065034,agrees
